Quantidade;Preco_Real;Preco_Previsto
27;28.01;135.02592286420415
14;12.94;136.0860468092512
9;6.48;136.49378678811544
895;81.12;64.24226253337093
24;39.53;135.27056685152272
617;18.0;86.91260535822305
695;157.37;80.5518616879408
805;2.12;71.58158215292737
173;0.88;123.11991548136815
5;45.42;136.81997877120685
245;10.47;117.248459785723
19;1.76;135.67830683038696
219;222.42;119.36870767581709
925;8.99;61.79582266018545
15;12.34;136.00449881347836
234;71.04;118.14548773922435
46;68.63;133.47651094452002
354;0.83;108.35972824648243
107;1.34;128.5020832023762
211;122.41;120.02109164199987
308;67.08;112.1109360520335
140;65.35;125.81099934187219
936;221.42;60.898794706684114
14;27.12;136.0860468092512
611;12.56;87.40189333286014
25;26.4;135.18901885574985
503;43.66;96.20907687632787
32;106.12;134.6181828853399
476;12.1;98.4108727621948
50;0.27;133.15031896142864
57;87.56;132.57948299101866
42;17.5;133.80270292761142
60;21.77;132.33483900370013
699;0.99;80.2256697048494
29;92.54;134.86282687265847
4;0.46;136.90152676697969
380;23.85;106.23948035638834
274;18.57;114.88356790831037
354;65.12;108.35972824648243
673;103.41;82.34591759494349
150;173.35;124.99551938414369
335;92.56;109.90914016616657
36;5.9;134.29199090224853
56;0.86;132.66103098679153
16;13.59;135.9229508177055
44;8.48;133.63960693606572
552;1.57;92.21322508345825
184;4458.03;122.22288752786682
66;272.46;131.84555102906305
136;8.15;126.13719132496358
886;21.86;64.97619449532658
42;22.25;133.80270292761142
439;267.55;101.42814860579023
44;18.09;133.63960693606572
795;29.8;72.39706211065587
653;149.05;83.97687751040047
406;29.15;104.11923246629425
18;125.66;135.7598548261598
111;19.63;128.1758912192848
19;23.37;135.67830683038696
26;21.35;135.107470859977
636;0.87;85.36319343853891
46;5.5;133.47651094452002
413;179.51;103.5483964958843
33;24.32;134.53663488956707
952;427.45;59.59402677431852
996;119.75;56.00591496031315
266;22.84;115.53595187449316
563;61.15;91.31619712995692
7;65.03;136.65688277966115
736;11.94;77.20839386125398
821;23.14;70.27681422056179
646;20.82;84.54771348081042
117;14.67;127.68660324464771
433;18.31;101.91743658042734
520;0.87;94.82276094818943
501;262.13;96.37217286787357
473;292.03;98.65551674951335
373;288.52;106.81031632679829
926;252.27;61.7142746644126
838;16.19;68.89049829242335
964;0.93;58.615450825044334
49;183.28;133.23186695720148
8;41.22;136.5753347838883
533;96.35;93.7626370031424
726;0.81;78.02387381898248
747;34.28;76.31136590775264
931;22.94;61.30653468554836
808;8.12;71.33693816560883
825;14.82;69.95062223747038
465;3.81;99.30790071569615
35;81.13;134.37353889802137
557;26.19;91.80548510459401
998;161.81;55.842818968767446
688;32.13;81.12269765835075
766;245.52;74.7619539880685
598;52.68;88.4620172779072
236;163.32;117.98239174767865
977;88.45;57.55532687999728
340;1.06;109.50140018730232
22;120.47;135.43366284306842
11;220.29;136.33069079656974
67;63.44;131.76400303329018
1;1.6;137.14617075429825
944;67.77;60.24641074050132
72;16.71;131.35626305442594
30;1.23;134.7812788768856
34;33.19;134.4550868937942
301;51.45;112.68177202244344
287;6.66;113.82344396326333
823;31.54;70.11371822901609
25;0.73;135.18901885574985
870;1.29;66.28096242769216
37;55.97;134.21044290647566
289;227.94;113.66034797171763
20;228.53;135.5967588346141
472;0.94;98.7370647452862
4;21.3;136.90152676697969
615;35.64;87.07570134976875
15;26.52;136.00449881347836
648;31.13;84.38461748926471
21;137.69;135.51521083884126
452;2.29;100.36802466074319
587;67.55;89.35904523140853
479;10.99;98.16622877487626
16;2.35;135.9229508177055
282;285.02;114.23118394212759
650;34.96;84.22152149771902
429;22.0;102.24362856351873
42;82.77;133.80270292761142
428;226.33;102.32517655929158
174;251.66;123.0383674855953
47;30.34;133.39496294874718
166;47.11;123.6907514517781
788;69.78;72.96789808106581
104;1.34;128.74672718969475
1;241.28;137.14617075429825
132;189.0;126.46338330805497
25;222.87;135.18901885574985
760;0.77;75.25124196270559
322;153.83;110.9692641112136
769;1.75;74.51731000074994
284;3.87;114.06808795058188
532;10.0;93.84418499891524
39;0.5;134.04734691492996
43;217.7;133.72115493183856
11;169.36;136.33069079656974
27;26.36;135.02592286420415
28;0.76;134.9443748684313
147;15.98;125.24016337146224
651;69.8;84.13997350194617
304;0.94;112.43712803512489
687;246.82;81.2042456541236
209;156.71;120.18418763354558
525;12.71;94.41502096932518
507;149.98;95.88288489323648
380;85.43;106.23948035638834
648;16.48;84.38461748926471
315;259.18;111.54010008162355
39;8.19;134.04734691492996
6;55.91;136.73843077543398
935;8.37;60.980342702456966
956;17.07;59.26783479122713
218;12.3;119.45025567158993
466;319.56;99.2263527199233
817;10.74;70.60300620365318
660;35.62;83.40604153999053
118;65.2;127.60505524887486
877;1.17;65.71012645728221
876;30.82;65.79167445305507
183;215.05;122.30443552363965
296;14.85;113.08951200130768
772;229.31;74.2726660134314
921;10.24;62.122014643276856
181;12.76;122.46753151518536
37;236.9;134.21044290647566
772;75.74;74.2726660134314
480;21.99;98.08468077910341
1;76.33;137.14617075429825
